Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Mean Operative Temperature,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Total energy[J](Hourly)
1104750000.0,9.758333333,2.083333333,95062.33333,1.908333333,166.25,124.1666667,355.25,165.156374,20.76502577,19.44719299,57316.11482,0.0,3303992.119,3361308.234
1104753600.0,10.825,1.941666667,95066.33333,1.991666667,126.6666667,144.4166667,312.9166667,179.9033469,22.1473528,19.54053567,57316.11482,0.0,2862754.975,2920071.09
1104757200.0,11.49166667,2.133333333,95076.16667,1.558333333,90.66666667,165.75,192.25,194.6557736,20.80009662,19.59539582,57316.11482,0.0,2584852.73,2642168.845
1104760800.0,11.7,2.008333333,95090.75,0.691666667,109.1666667,130.0,141.25,208.6384098,16.87898311,19.60070334,57316.11482,0.0,2510171.93,2567488.045
1104764400.0,11.46666667,1.158333333,95105.75,0.633333333,179.4166667,69.08333333,75.41666667,221.4007283,10.78158256,19.53545285,57316.11482,0.0,2667794.59,2725110.705
1104768000.0,10.775,0.583333333,95120.75,1.966666667,194.0833333,9.0,7.0,232.8973233,2.994683117,19.41819904,1266282.447,0.0,2502035.291,3768317.738
1104771600.0,10.10833333,0.558333333,95135.75,4.55,118.1666667,0.0,0.0,243.3734691,-6.023654528,19.32638642,1363184.304,0.0,2621242.555,3984426.859
1104775200.0,9.55,0.891666667,95150.16667,4.633333333,140.0,0.0,0.0,253.238626,-15.88784081,19.27071264,1617540.857,0.0,2700567.131,4318107.988
1104778800.0,9.008333333,0.691666667,95164.75,2.341666667,340.3333333,0.0,0.0,263.0263987,-26.27446704,19.28513991,3674037.099,0.0,2877546.655,6551583.754
1104782400.0,8.508333333,0.516666667,95179.75,1.3,84.83333333,0.0,0.0,273.4699714,-36.87971477,19.26197551,3770938.955,0.0,2896353.877,6667292.832
