Insulation Thickness,ACH,shading temperature,shading irradiation,glazing layers,Electricity:Facility,DistrictHeating:Facility,DistrictCooling:Facility
0.3,2.0,20.0,240.0,2,2581.4141372444496,11101.429488995154,156.1526627631374
0.3,6.0,20.0,240.0,2,2581.4141372444496,11101.429488995154,156.1526627631374
0.3,4.0,20.0,240.0,2,2581.4141372444496,11101.429488995154,156.1526627631374
0.3,4.0,20.0,120.0,2,2622.5698477861165,11103.19125649554,142.36172868574934
0.3,6.0,20.0,120.0,2,2622.5698477861165,11103.19125649554,142.36172868574934
0.3,0.0,20.0,120.0,2,2622.5698477861165,11103.19125649554,142.36172868574934
0.3,2.0,20.0,120.0,2,2622.5698477861165,11103.19125649554,142.36172868574934
0.3,2.0,20.0,80.0,2,2638.784114015283,11103.30768327471,141.03334204233488
0.3,0.0,20.0,80.0,2,2638.784114015283,11103.30768327471,141.03334204233488
0.3,4.0,20.0,80.0,2,2638.784114015283,11103.30768327471,141.03334204233488
0.3,6.0,20.0,80.0,2,2638.784114015283,11103.30768327471,141.03334204233488
0.25,6.0,28.0,300.0,2,2481.7802199319494,11103.470418703699,512.3372958612558
0.25,2.0,28.0,300.0,2,2481.7802199319494,11103.470418703699,512.3372958612558
0.25,4.0,28.0,300.0,2,2481.7802199319494,11103.470418703699,512.3372958612558
0.25,0.0,28.0,300.0,2,2481.7802199319494,11103.470418703699,512.3372958612558
0.25,4.0,28.0,80.0,2,2487.4631649527832,11103.470795172587,506.23253693954047
0.25,2.0,28.0,80.0,2,2487.4631649527832,11103.470795172587,506.23253693954047
0.25,6.0,28.0,80.0,2,2487.4631649527832,11103.470795172587,506.23253693954047
0.25,0.0,28.0,80.0,2,2487.4631649527832,11103.470795172587,506.23253693954047
0.25,0.0,28.0,240.0,2,2483.4246827236166,11103.473642152485,509.1223802590213
0.25,6.0,28.0,240.0,2,2483.4246827236166,11103.473642152485,509.1223802590213
0.25,2.0,28.0,240.0,2,2483.4246827236166,11103.473642152485,509.1223802590213
0.25,4.0,28.0,240.0,2,2483.4246827236166,11103.473642152485,509.1223802590213
0.25,2.0,28.0,120.0,2,2486.564844536116,11103.47617066078,506.53943734660044
0.25,0.0,28.0,120.0,2,2486.564844536116,11103.47617066078,506.53943734660044
0.25,6.0,28.0,120.0,2,2486.564844536116,11103.47617066078,506.53943734660044
0.25,4.0,28.0,120.0,2,2486.564844536116,11103.47617066078,506.53943734660044
0.25,0.0,24.0,300.0,2,2518.02010099445,11103.653623123086,313.5871331190296
0.25,4.0,24.0,300.0,2,2518.02010099445,11103.653623123086,313.5871331190296
0.25,6.0,24.0,300.0,2,2518.02010099445,11103.653623123086,313.5871331190296
0.25,2.0,24.0,300.0,2,2518.02010099445,11103.653623123086,313.5871331190296
0.25,2.0,24.0,240.0,2,2526.7100964111164,11103.671006816405,304.50806981784615
0.25,6.0,24.0,240.0,2,2526.7100964111164,11103.671006816405,304.50806981784615
0.25,0.0,24.0,240.0,2,2526.7100964111164,11103.671006816405,304.50806981784615
0.25,4.0,24.0,240.0,2,2526.7100964111164,11103.671006816405,304.50806981784615
0.25,4.0,24.0,80.0,2,2552.7187151611165,11103.672926282228,293.8437291197202
0.25,2.0,24.0,80.0,2,2552.7187151611165,11103.672926282228,293.8437291197202
0.25,6.0,24.0,80.0,2,2552.7187151611165,11103.672926282228,293.8437291197202
0.25,0.0,24.0,80.0,2,2552.7187151611165,11103.672926282228,293.8437291197202
0.25,4.0,24.0,120.0,2,2544.8749796819498,11103.673979015504,294.02508599793293
0.25,6.0,24.0,120.0,2,2544.8749796819498,11103.673979015504,294.02508599793293
0.25,0.0,24.0,120.0,2,2544.8749796819498,11103.673979015504,294.02508599793293
0.25,2.0,24.0,120.0,2,2544.8749796819498,11103.673979015504,294.02508599793293
0.25,0.0,20.0,300.0,3,2627.734363161116,11110.623513934715,138.03038985099397
0.25,4.0,20.0,300.0,3,2627.734363161116,11110.623513934715,138.03038985099397
0.25,6.0,20.0,300.0,3,2627.734363161116,11110.623513934715,138.03038985099397
0.25,2.0,20.0,300.0,3,2627.734363161116,11110.623513934715,138.03038985099397
0.25,6.0,20.0,240.0,3,2649.0876297652826,11111.998898892445,128.31541385892743
0.25,4.0,20.0,240.0,3,2649.0876297652826,11111.998898892445,128.31541385892743
0.25,2.0,20.0,240.0,3,2649.0876297652826,11111.998898892445,128.31541385892743
0.25,0.0,20.0,240.0,3,2649.0876297652826,11111.998898892445,128.31541385892743
0.25,2.0,20.0,120.0,3,2689.981589452783,11113.39978002438,117.72884107350856
0.25,6.0,20.0,120.0,3,2689.981589452783,11113.39978002438,117.72884107350856
0.25,4.0,20.0,120.0,3,2689.981589452783,11113.39978002438,117.72884107350856
0.25,0.0,20.0,120.0,3,2689.981589452783,11113.39978002438,117.72884107350856
0.25,2.0,20.0,80.0,3,2705.57795161945,11113.429778912954,117.06017958434833
0.25,0.0,20.0,80.0,3,2705.57795161945,11113.429778912954,117.06017958434833
0.25,4.0,20.0,80.0,3,2705.57795161945,11113.429778912954,117.06017958434833
0.25,6.0,20.0,80.0,3,2705.57795161945,11113.429778912954,117.06017958434833
0.25,2.0,20.0,300.0,2,2560.82191636945,11114.217420456795,170.0567750878129
0.25,0.0,20.0,300.0,2,2560.82191636945,11114.217420456795,170.0567750878129
0.25,6.0,20.0,300.0,2,2560.82191636945,11114.217420456795,170.0567750878129
0.25,4.0,20.0,300.0,2,2560.82191636945,11114.217420456795,170.0567750878129
0.25,2.0,20.0,240.0,2,2581.4141372444496,11116.158332367231,156.0902365329985
0.25,6.0,20.0,240.0,2,2581.4141372444496,11116.158332367231,156.0902365329985
0.25,0.0,20.0,240.0,2,2581.4141372444496,11116.158332367231,156.0902365329985
0.25,4.0,20.0,240.0,2,2581.4141372444496,11116.158332367231,156.0902365329985
0.25,2.0,20.0,120.0,2,2622.5698477861165,11117.960621995133,141.88821528373794
0.25,0.0,20.0,120.0,2,2622.5698477861165,11117.960621995133,141.88821528373794
0.25,4.0,20.0,120.0,2,2622.5698477861165,11117.960621995133,141.88821528373794
0.25,6.0,20.0,120.0,2,2622.5698477861165,11117.960621995133,141.88821528373794
0.25,4.0,20.0,80.0,2,2638.784114015283,11118.064227631461,140.79476705252398
0.25,2.0,20.0,80.0,2,2638.784114015283,11118.064227631461,140.79476705252398
0.25,6.0,20.0,80.0,2,2638.784114015283,11118.064227631461,140.79476705252398
0.25,0.0,20.0,80.0,2,2638.784114015283,11118.064227631461,140.79476705252398
0.35,2.0,28.0,80.0,1,2459.3978787861165,11606.998903888874,777.2232787112561
0.35,6.0,28.0,80.0,1,2459.3978787861165,11606.998903888874,777.2232787112561
0.35,4.0,28.0,80.0,1,2459.3978787861165,11606.998903888874,777.2232787112561
